Top 5 masking ,,Test ,Without ,,,,,,,,,No masking,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,,,1,2,3,4,5,6,7,8,9,10
0,0.746154,0.769231,0.746154,0.746154,0.753846,0.807692,0.730769,0.746154,0.723077,0.746154,,0,0.776923,0.784615,0.784615,0.815385,0.761538,0.730769,0.792308,0.8,0.776923,0.761538
1,0.776923,0.784615,0.723077,0.730769,0.753846,0.807692,0.730769,0.746154,0.730769,0.746154,,1,0.769231,0.807692,0.807692,0.792308,0.776923,0.738462,0.776923,0.807692,0.753846,0.776923
2,0.730769,0.746154,0.723077,0.715385,0.761538,0.692308,0.730769,0.746154,0.669231,0.753846,,2,0.784615,0.784615,0.807692,0.784615,0.784615,0.769231,0.784615,0.815385,0.761538,0.792308
,,,,,,,,,,,,,,,,,,,,,,
,,Train,Without ,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,,,1,2,3,4,5,6,7,8,9,10
0,0.815115,0.793522,0.801619,0.805668,0.804318,0.775978,0.808367,0.811066,0.793522,0.789474,,0,0.761134,0.769231,0.778677,0.786775,0.762483,0.735493,0.786775,0.762483,0.784076,0.758435
1,0.792173,0.801619,0.794872,0.809717,0.789474,0.792173,0.807018,0.817814,0.786775,0.805668,,1,0.759784,0.785425,0.793522,0.792173,0.766532,0.746289,0.784076,0.77058,0.736842,0.784076
2,0.79892,0.786775,0.809717,0.817814,0.807018,0.717949,0.802969,0.797571,0.641026,0.79892,,2,0.809717,0.785425,0.780027,0.785425,0.785425,0.755735,0.781377,0.777328,0.735493,0.790823
,,,,,,,,,,,,,,,,,,,,,,
,,Test ,With,,,,,,,,,,1,2,3,4,5,6,7,8,9,10
0,0.746154,0.769231,0.746154,0.746154,0.753846,0.807692,0.730769,0.746154,0.723077,0.746154,,0,0.776923,0.784615,0.784615,0.815385,0.761538,0.730769,0.792308,0.8,0.776923,0.761538
1,0.776923,0.792308,0.723077,0.730769,0.753846,0.807692,0.730769,0.746154,0.730769,0.746154,,1,0.769231,0.8,0.807692,0.792308,0.776923,0.738462,0.776923,0.807692,0.753846,0.776923
2,0.730769,0.746154,0.723077,0.715385,0.761538,0.684615,0.730769,0.746154,0.669231,0.753846,,2,0.784615,0.784615,0.807692,0.784615,0.784615,0.769231,0.784615,0.815385,0.761538,0.792308
,,,,,,,,,,,,,,,,,,,,,,
,,Train,With,,,,,,,,,,1,2,3,4,5,6,7,8,9,10
0,0.815115,0.796221,0.801619,0.805668,0.804318,0.775978,0.808367,0.811066,0.793522,0.789474,,0,0.761134,0.769231,0.777328,0.786775,0.762483,0.735493,0.786775,0.762483,0.784076,0.758435
1,0.792173,0.80027,0.794872,0.809717,0.789474,0.792173,0.807018,0.817814,0.786775,0.805668,,1,0.759784,0.781377,0.793522,0.792173,0.766532,0.746289,0.784076,0.77058,0.735493,0.784076
2,0.79892,0.775978,0.809717,0.817814,0.807018,0.7139,0.802969,0.797571,0.641026,0.79892,,2,0.809717,0.785425,0.780027,0.785425,0.785425,0.755735,0.781377,0.777328,0.735493,0.790823
,,,,,,,,,,,,,,,,,,,,,,
Bottom 3  masking ,,Test,Wtihout,,,,,,,,,Bottom 5 masking,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,,,1,2,3,4,5,6,7,8,9,10
0,0.653846,0.776923,0.776923,0.807692,0.807692,0.738462,0.8,0.8,0.784615,0.784615,,0,0.730769,0.753846,0.761538,0.853846,0.792308,0.776923,0.830769,0.838462,0.792308,0.823077
1,0.638462,0.792308,0.715385,0.815385,0.776923,0.738462,0.769231,0.784615,0.869231,0.815385,,1,0.715385,0.738462,0.753846,0.823077,0.8,0.815385,0.784615,0.823077,0.784615,0.807692
2,0.623077,0.776923,0.692308,0.815385,0.738462,0.723077,0.769231,0.776923,0.815385,0.815385,,2,0.707692,0.746154,0.746154,0.776923,0.8,0.792308,0.769231,0.830769,0.792308,0.807692
,,,,,,,,,,,,,,,,,,,,,,
,,Train,Without ,,,,,,,,,,1,2,3,4,5,6,7,8,9,10
0,0.663968,0.789474,0.77058,0.789474,0.778677,0.758435,0.761134,0.79892,0.817814,0.80027,,0,0.744939,0.763833,0.781377,0.778677,0.790823,0.782726,0.775978,0.777328,0.765182,0.778677
1,0.641026,0.802969,0.736842,0.796221,0.774629,0.740891,0.761134,0.774629,0.790823,0.789474,,1,0.727395,0.755735,0.734143,0.802969,0.777328,0.781377,0.794872,0.777328,0.777328,0.785425
2,0.634278,0.792173,0.716599,0.789474,0.739541,0.726046,0.792173,0.755735,0.792173,0.782726,,2,0.757085,0.747638,0.707152,0.805668,0.780027,0.784076,0.784076,0.777328,0.781377,0.784076
,,,,,,,,,,,,,,,,,,,,,,
,,Test ,With,,,,,,,,,,1,2,3,4,5,6,7,8,9,10
0,0.653846,0.776923,0.776923,0.807692,0.807692,0.738462,0.8,0.8,0.784615,0.784615,,0,0.730769,0.753846,0.761538,0.853846,0.792308,0.776923,0.830769,0.838462,0.792308,0.823077
1,0.638462,0.792308,0.715385,0.815385,0.776923,0.738462,0.769231,0.784615,0.869231,0.815385,,1,0.715385,0.738462,0.753846,0.823077,0.8,0.815385,0.784615,0.823077,0.784615,0.807692
2,0.623077,0.776923,0.692308,0.815385,0.738462,0.723077,0.769231,0.776923,0.815385,0.815385,,2,0.707692,0.746154,0.746154,0.776923,0.8,0.792308,0.769231,0.830769,0.792308,0.807692
,,,,,,,,,,,,,,,,,,,,,,
,,Train,With,,,,,,,,,,1,2,3,4,5,6,7,8,9,10
0,0.663968,0.789474,0.77058,0.789474,0.778677,0.758435,0.758435,0.79892,0.817814,0.80027,,0,0.744939,0.763833,0.781377,0.778677,0.790823,0.782726,0.775978,0.777328,0.765182,0.778677
1,0.641026,0.802969,0.736842,0.796221,0.774629,0.740891,0.761134,0.774629,0.790823,0.789474,,1,0.727395,0.755735,0.734143,0.802969,0.777328,0.781377,0.794872,0.777328,0.777328,0.785425
2,0.634278,0.792173,0.716599,0.789474,0.739541,0.726046,0.793522,0.755735,0.792173,0.782726,,2,0.757085,0.747638,0.707152,0.805668,0.780027,0.782726,0.784076,0.777328,0.781377,0.784076
